"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2017-09-06",0,FALSE,"905518149696671747",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Sulsters_inc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Federer has got very lucky in some recent Slams. C'mon #rafanadal #rafaelnadal #rafa #Nadal #vamos #USOpen #tennis <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BE><U+00BE>",FALSE
"2017-09-06",0,FALSE,"905517951259947011",FALSE,NA,NA,NA,NA,NA,0,FALSE,"TforTieBreak","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Brutal mauling. Match would be rated 18+ for Gore and sheer bloody minded ruthlessness. #USOpen #Rafa #rublev",FALSE
"2017-09-06",0,FALSE,"905517663589466114",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Sulsters_inc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The easier this is for #rafa the better ... Hope Del Potro really puts Federer through the mill, better still knock him out #USOpen #vamos",FALSE
"2017-09-06",1,FALSE,"905517423603761152",FALSE,NA,NA,NA,NA,NA,0,FALSE,"boabored","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","<U+672C><U+6C17><U+306E><U+30CA><U+30C0><U+30EB>…<ed><U+00A0><U+00BD><ed><U+00B8><U+0093><U+30EB><U+30D6><U+30EC><U+30D5><U+3082><U+3051><U+3063><U+3053><U+3046><U+3084><U+308B><U+3068><U+601D><U+3063><U+305F><U+3051><U+3069>…<ed><U+00A0><U+00BD><ed><U+00B8><U+008C><U+307B><U+3093><U+306E><U+3059><U+3053><U+3049><U+3057><U+304F><U+3089><U+3044><U+306E><U+624B><U+52A0><U+6E1B><U+3082><U+3059><U+308B><U+306F><U+305A><U+306A><U+3044><U+4EBA>=<U+30CA><U+30C0><U+30EB>…

<U+3067><U+3082><U+4ECA><U+65E5><U+306F> #Federer vs #DelPotro <U+306E><U+30D3><U+30C3><U+30B0><U+30DE><U+30C3><U+30C1><U+30A3><ed><U+00A0><U+00BD><ed><U+00B8><U+00B3>09<U+5E74><U+306E><U+518D><U+73FE><U+304C><U+3053><U+308F><U+3044>…<ed><U+00A0><U+00BD><ed><U+00B8><U+0093>
#RafaelNadal #Rafa #USOpen",FALSE
"2017-09-06",0,FALSE,"905517036847210497",TRUE,NA,NA,NA,NA,NA,3,FALSE,"DesertIsleSkin","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @DesertIsleSkin: Come on @RafaelNadal playing such an amazing match so far @usopen #USOpen #Tennis #Rafa #Vamos #FlushingMeadows #Nadal…",FALSE
"2017-09-06",1,FALSE,"905516289044643841",FALSE,NA,NA,NA,NA,NA,0,FALSE,"martin97_ne","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#VamosRafa #Rafa

Nadal vs Rublev 6-1, 6-2.

#usopen https://t.co/VJkuEWQRtc",FALSE
"2017-09-06",0,FALSE,"905514746841051137",TRUE,NA,NA,NA,NA,NA,1,FALSE,"p0nkm0nkey","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @hodawg528: If #Rafa gets further than #Roger at #USOpen will be first time in history that men and women's world #1 will be Spanish <ed><U+00A0><U+00BC><ed><U+00B7><U+00AA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>…",FALSE
"2017-09-06",1,FALSE,"905514228223799306",FALSE,NA,NA,"905511766871998464","KimChakanetsa","252585753",0,FALSE,"ambokowameyo","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@KimChakanetsa @Msuwonkunda @NishatL @ebraheemshehu @RafaelNadal Kim, #Rafa is done with the second set. Just one m… https://t.co/NPyTRKHhuB",TRUE
"2017-09-06",1,FALSE,"905514044492275713",FALSE,NA,NA,NA,NA,NA,1,FALSE,"hodawg528","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","If #Rafa gets further than #Roger at #USOpen will be first time in history that men and women's world #1 will be Spanish <ed><U+00A0><U+00BC><ed><U+00B7><U+00AA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> #vamos #Muguruza",FALSE
"2017-09-06",2,FALSE,"905513919078309888",FALSE,NA,NA,NA,NA,NA,0,FALSE,"sarahstew12","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wedgie. L shoulder. R shoulder. nose. L ear. nose. R ear. there aren't many men who can pull off a pre serve routine like that #USOpen #Rafa",FALSE
"2017-09-06",0,FALSE,"905513891064676352",FALSE,NA,NA,NA,NA,NA,0,FALSE,"balp","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",".@RafaelNadal is just fantastic #USOpen #rafa Vamos! https://t.co/E0RXNrzwGr",FALSE
"2017-09-06",0,FALSE,"905513766154104832",FALSE,NA,NA,NA,NA,NA,0,FALSE,"lynne_pampena","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Watching #rafa....go away lol <ed><U+00A0><U+00BD><ed><U+00B8><U+008E> #usopen",FALSE
"2017-09-06",0,FALSE,"905513697866645505",FALSE,NA,NA,NA,NA,NA,0,FALSE,"bendignan","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#Rafa just one set from the #USOpen semis! #VamosRafa https://t.co/jY0lVKRNig",FALSE
"2017-09-06",0,FALSE,"905513387525857285",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Ivan55k","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wow @RafaelNadal wins 2 sets in only 58 minutes. Must be a record for #rafaelnadal  in grand slam tournament on hard court #USOpen #rafa",FALSE
"2017-09-06",0,FALSE,"905513340696489986",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Sandile_GAM","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","It's turning into a tennis lesson by #Rafa #NadalvsRublev #USOpen",FALSE
"2017-09-06",0,FALSE,"905513259612196864",FALSE,NA,NA,NA,NA,NA,0,FALSE,"artindira","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","It look likes its gonna be over soon,last set if Andrey doesn't fight back #Rafa #USOpen",FALSE
"2017-09-06",0,FALSE,"905513200652832768",FALSE,NA,NA,NA,NA,NA,0,FALSE,"CorbettSports","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#Rafa #Nadal in complete control now as he takes the 2nd set 6-2. 

He's now...5/4...to Lift The #USOpen 2017 Title… https://t.co/4eOSZsJQMP",TRUE
"2017-09-06",0,FALSE,"905513114770309122",FALSE,NA,NA,NA,NA,NA,0,FALSE,"romanzum","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vamos #Rafa gana el 2o 6:2 parece q tiene prisa para descansar para las semis #USOpen",FALSE
"2017-09-06",1,FALSE,"905512855377731585",FALSE,NA,NA,NA,NA,NA,0,FALSE,"AliQuack","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Rafa masterclass <ed><U+00A0><U+00BD><ed><U+00B2><U+0097> 
#USOpen",FALSE
"2017-09-06",0,FALSE,"905512381295374336",FALSE,NA,NA,NA,NA,NA,0,FALSE,"taranumgoel","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#Rafa in his true form serving for set 2 #USOpen #UsOpen17",FALSE
"2017-09-06",0,FALSE,"905512362186334208",FALSE,NA,NA,NA,NA,NA,0,FALSE,"martin97_ne","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","La entrada de #rafa #USOpen https://t.co/Q6tx4hTn09",FALSE
"2017-09-06",1,FALSE,"905512156698996736",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Ivan55k","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I thought that #rafa will have more problems with #Rublev  because they play indoors #USOpen #VamosRafa #rafaelnadal",FALSE
"2017-09-06",0,FALSE,"905512070967287808",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Nadal__Tenis","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","I will watch on your behalf too, as am doing for Kim now... #Rafa is about to take the second set #USOpen… https://t.co/0bUMqBKzLT",TRUE
"2017-09-06",1,FALSE,"905511710261465089",FALSE,NA,NA,"905511137973858308","NishatL","57595529",0,FALSE,"ambokowameyo","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@NishatL @Msuwonkunda @ebraheemshehu @KimChakanetsa @RafaelNadal I will watch on your behalf too, as am doing for K… https://t.co/rCWCMs6Lzm",TRUE
"2017-09-06",1,FALSE,"905509042394681344",FALSE,NA,NA,NA,NA,NA,0,FALSE,"CedricNdilima","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I see the talent in #Rublev but I dont think he ready to beat #Rafa....Not enough variety yet to trouble the big man #USOpen",FALSE
"2017-09-06",0,FALSE,"905508503317495808",FALSE,NA,NA,NA,NA,NA,0,FALSE,"sumit6500","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","champion back in form #vamos #Rafa #USOpen",FALSE
"2017-09-06",0,FALSE,"905508188342116352",FALSE,NA,NA,NA,NA,NA,0,FALSE,"martin97_ne","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#USOpen el primer ser ya lo gana #Rafa #VamosRafa 6-1 a @AndreyRublev97 https://t.co/RsKpMPl7qo",FALSE
"2017-09-06",1,FALSE,"905507912495312899",FALSE,NA,NA,NA,NA,NA,0,FALSE,"KimberleyMatt","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ok, I'm over disappointing results for todays #USOpen but it is ok as it<ed><U+00A0><U+00BD><ed><U+00B1><U+0080>like #Rafa is restoring the balance.Then just #Delpo &amp; #Keys to go<ed><U+00A0><U+00BE><ed><U+00B4><U+009E>",FALSE
"2017-09-06",0,FALSE,"905507609750491137",FALSE,NA,NA,"905505545699938304","KimChakanetsa","252585753",0,FALSE,"ambokowameyo","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@KimChakanetsa @NishatL @Msuwonkunda @ebraheemshehu @RafaelNadal I'm watching on behalf of those who voluntarily  c… https://t.co/dWJhY41ksQ",TRUE
"2017-09-06",0,FALSE,"905504687771791360",FALSE,NA,NA,NA,NA,NA,0,FALSE,"romanzum","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Rafa 6:1 gana el 1er set.... #vamos #USOpen",FALSE
"2017-09-06",0,FALSE,"905504642234073089",FALSE,NA,NA,NA,NA,NA,0,FALSE,"FedexMahindra18","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oh dear, the #Rublev kid is getting schooled by #Rafa. #USOpen",FALSE
